time_stamp,actuator_state
1624787680.73017,water_on
1624787681.12527,uv_on
1624787681.50304,uv_off
1624787681.89451,water_off
1624787682.25421,light_off
1624787683.03217,light_on
1624787683.39613,uv_on
1624787683.77017,water_on
1624787684.23841,fan_off
1624787684.48604,uv_off
1624787684.65735,light_off
1624787684.83255,water_off
1624787685.83208,fan_on
1624787690.85437,fan_off
1624787692.5553,fan_on
1624787692.92918,light_on
1624787693.30555,water_on
1624787693.71842,uv_on
1624787694.14398,uv_off
1624787694.35431,water_off
1624787694.55067,light_off
1624787694.9515,light_on
1624787695.29562,water_on
1624787695.68626,uv_on
1624787695.90603,water_off
1624787696.14089,uv_off
1624787696.33287,light_off
1624787696.79264,fan_off
1624787743.24372,fan_on
1624787747.90631,fan_off
1624787750.27603,fan_on
1624787754.25819,fan_off
1624787756.59103,fan_on
1624787757.827,light_on
1624787758.99433,water_on
1624787759.37182,uv_on
1624787760.17621,fan_off
1624787760.92486,uv_off
1624787761.13561,water_off
1624787761.3223,light_off
1624787762.49438,fan_on
1624787767.19374,fan_off
1624788585.36068,fan_on
1624788585.77103,fan_off
1624789042.35413,fan_on
1624789042.841,fan_off
1624789044.64141,fan_on
1624789044.79751,fan_off
1624789044.97645,fan_on
1624789045.13991,fan_off
1624789045.36108,light_on
1624789045.60509,fan_on
1624789045.87987,light_off
1624789046.23178,light_on
1624789047.07214,fan_off
1624789047.28919,light_off
1624789207.0952,fan_on
1624789207.45307,fan_off
1624789240.34806,fan_on
1624789240.70452,fan_off
1624789242.16939,fan_on
1624789242.34053,fan_off
1624789242.94829,fan_on
1624789243.11081,fan_off
1624789243.25533,fan_on
1624789243.6954,fan_off
1624789243.96121,fan_on
1624789244.21957,fan_off
1624789263.12873,fan_on
1624789263.64437,fan_off
1624793435.72811,fan_on
1624793437.80469,fan_on
1624793439.20698,fan_on
1624793450.11222,fan_on
1624793451.77696,fan_on
1624793453.10943,fan_on
1624793454.38813,fan_on
1624793458.69386,fan_off
1624793459.81764,fan_off
1624793472.6805,fan_off
1624793473.87453,fan_off
1624793474.73031,fan_off
1624798632.16614,fan_on
1624798632.45884,fan_off
1624801978.4107,fan_on
1624801978.62779,fan_off
1624801981.63528,light_on
1624801982.1632,light_off
1624801982.54105,light_on
1624801983.05292,light_off
1624801983.29886,uv_on
1624801983.62303,uv_off
1624801983.94592,uv_on
1624801984.34699,uv_off
1624801984.68964,water_on
1624801984.88665,water_off
1624801985.31001,water_on
1624801985.63712,fan_on
1624801985.83296,fan_off
1624801986.48558,water_off
1624801986.70038,light_on
1624801987.07389,water_on
1624801987.16066,light_off
1624801987.32969,water_off
1624801987.6284,uv_on
1624801987.91644,water_on
1624801987.97665,light_on
1624801988.19723,water_off
1624801988.36607,uv_off
1624801988.5441,water_on
1624801988.60003,light_off
1624801988.79912,water_off
1624801989.14427,uv_on
1624801989.305,water_on
1624801989.37304,light_on
1624801989.90177,water_off
1624801989.96619,light_off
1624801990.72914,uv_off
1624806542.37867,fan_on
1624806542.53465,fan_off
1624806543.01972,light_on
1624806543.53349,water_on
1624806544.09045,water_off
1624806544.58576,light_off
1624806545.06745,water_on
1624806545.61188,light_on
1624806545.94739,water_off
1624806546.21044,light_off
1624806547.23409,uv_on
1624806547.62912,uv_off
1624806548.2354,fan_on
1624806549.31108,fan_off
1624806549.75286,fan_on
1624806549.94333,fan_off
1624806550.19678,fan_on
1624806550.64056,fan_off
1624806593.5397,fan_on
1624806593.91944,fan_off
1624810023.25491,fan_on
1624810023.63777,fan_off
1624810049.11906,water_on
1624810049.51303,water_off
1624810050.23522,uv_on
1624810051.99501,uv_off
1624810054.01233,light_on
1624810054.63731,uv_on
1624810055.7522,uv_off
1624810056.11096,light_off
1624811162.7591,fan_on
1624811165.79967,light_on
1624811167.7609,fan_off
1624811168.72635,water_on
1624811170.05209,water_off
1624811170.48318,uv_on
1624811171.40995,uv_off
1624811171.66959,light_off
1624811256.11849,water_on
1624811256.39398,water_off
1624811588.85021,fan_on
1624811590.52287,fan_off
1624811591.05655,fan_on
1624811595.81737,fan_off
1624811596.62425,fan_on
1624811597.36055,fan_off
1624811603.83252,uv_on
1624811604.26085,uv_off
1624811604.78673,uv_on
1624811605.68725,water_on
1624811606.25637,water_off
1624811606.44545,uv_off
1624811606.69705,fan_on
1624811606.87559,light_on
1624811607.43815,fan_off
1624811607.79906,light_off
1624826960.35569,fan_on
1624826960.36254,fan_off
1624826960.55838,fan_on
1624826960.94219,fan_off
1624826961.1976,fan_on
1624826961.35136,fan_off
1624826961.49578,fan_on
1624826961.67028,fan_off
1624826962.36323,fan_on
1624826962.49948,fan_off
1624847474.13032,fan_on
1624847474.64945,fan_off
1624863997.27473,fan_on
1624863997.95769,fan_off
1624864000.00538,fan_on
1624864000.4169,fan_off
1624864001.26298,water_on
1624864001.51289,uv_on
1624864001.79859,uv_off
1624864002.03099,water_off
1624864002.42642,uv_on
1624864002.93629,water_on
1624864003.38035,fan_on
1624864003.75571,water_off
1624864004.07417,uv_off
1624864004.45374,fan_off
1624864005.00663,fan_on
1624864005.08377,light_on
1624864005.14523,fan_off
1624864005.33851,light_off
1624864012.9084,fan_on
1624864013.26084,fan_off
1624864052.11143,water_on
1624864052.45313,water_off
1624864052.79879,uv_on
1624864053.19911,uv_off
1624865227.56483,fan_on
1624865227.84654,fan_off
1624865262.95141,fan_off
1624865263.04506,fan_on
1624865263.34296,fan_off
1624865455.61594,water_on
1624865456.09423,water_off
1624865456.57839,water_on
1624865456.93919,water_off
1624865457.15295,water_on
1624865457.72369,water_off
1624865458.1362,water_on
1624865458.95814,light_on
1624865459.71656,light_off
1624865460.3753,uv_on
1624865461.02577,uv_off
1624865462.26797,uv_on
1624865462.68195,water_off
1624865463.05879,uv_off
1624868378.92678,fan_on
1624868379.27358,fan_off
1624868379.89138,fan_on
1624868380.02079,fan_off
1624868380.5442,fan_on
1624868380.67939,fan_off
1624868381.21342,fan_on
1624868381.64963,fan_off
1624868382.39968,fan_on
1624868382.52569,fan_off
1624868382.96142,fan_on
1624868383.10648,fan_off
1624868383.28425,fan_on
1624868383.43689,fan_off
1624868383.81766,fan_on
1624868383.99809,fan_off
1624868384.19264,fan_on
1624868384.57611,fan_off
1624868384.84946,fan_on
1624868385.59578,fan_off
1624868801.5194,fan_on
1624868802.33057,fan_off
1624868802.83927,water_on
1624868803.48327,water_off
1624868803.68942,fan_on
1624868804.02599,light_on
1624868804.30587,uv_on
1624868804.79945,light_off
